Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,33,1757,1618,124,15,"December 7, 2020"
CITY OF GOLETA,6,414,372,37,5,"December 7, 2020"
COMMUNITY OF ISLA VISTA,6,553,533,19,1,"December 7, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,10,334,303,28,3,"December 7, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,271,237,27,7,"December 7, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1275,1166,100,9,"December 7, 2020"
FEDERAL PRISON IN LOMPOC,2,1029,1024,2,3,"December 7, 2020"
CITY OF SANTA MARIA,12,4853,4611,167,75,"December 7, 2020"
COMMUNITY OF ORCUTT,7,564,514,44,6,"December 7, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,531,512,12,7,"December 7, 2020"
Out of County,,,0,0,0,"December 7, 2020"
Pending,10,471,418,53,,"December 7, 2020"
Total** ,117,12379,11598,643,138,"December 7, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,307,277,23,7,"December 4, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,17,1659,1586,58,15,"December 4, 2020"
CITY OF GOLETA,5,392,354,33,5,"December 4, 2020"
COMMUNITY OF ISLA VISTA,2,538,527,10,1,"December 4, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,319,292,24,3,"December 4, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,255,230,18,7,"December 4, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,14,1202,1120,73,9,"December 4, 2020"
FEDERAL PRISON IN LOMPOC,0,1027,1024,0,3,"December 4, 2020"
CITY OF SANTA MARIA,14,4731,4551,105,75,"December 4, 2020"
COMMUNITY OF ORCUTT,3,528,494,28,6,"December 4, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,523,503,13,7,"December 4, 2020"
Out of County,,,0,0,0,"December 4, 2020"
Pending,5,436,408,28,,"December 4, 2020"
Total** ,75,11917,11366,413,138,"December 4, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",10,302,274,21,7,"December 3, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1642,1562,65,15,"December 3, 2020"
CITY OF GOLETA,10,387,348,34,5,"December 3, 2020"
COMMUNITY OF ISLA VISTA,5,536,525,10,1,"December 3, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,314,287,24,3,"December 3, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",11,252,223,22,7,"December 3, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,18,1188,1108,71,9,"December 3, 2020"
FEDERAL PRISON IN LOMPOC,0,1027,1024,0,3,"December 3, 2020"
CITY OF SANTA MARIA,41,4717,4530,112,75,"December 3, 2020"
COMMUNITY OF ORCUTT,8,525,491,28,6,"December 3, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,521,498,16,7,"December 3, 2020"
Out of County,,,0,0,0,"December 3, 2020"
Pending,11,434,408,25,,"December 3, 2020"
Total** ,134,11845,11278,428,138,"December 3, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,292,270,15,7,"December 2, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1629,1533,81,15,"December 2, 2020"
CITY OF GOLETA,9,378,346,27,5,"December 2, 2020"
COMMUNITY OF ISLA VISTA,2,532,525,6,1,"December 2, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,310,282,25,3,"December 2, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,241,220,14,7,"December 2, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,18,1172,1098,65,9,"December 2, 2020"
FEDERAL PRISON IN LOMPOC,0,1027,1024,0,3,"December 2, 2020"
CITY OF SANTA MARIA,21,4678,4489,114,75,"December 2, 2020"
COMMUNITY OF ORCUTT,7,517,482,29,6,"December 2, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,519,496,16,7,"December 2, 2020"
Out of County,,,0,0,0,"December 2, 2020"
Pending,6,425,401,24,,"December 2, 2020"
Total** ,89,11720,11166,416,138,"December 2, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,287,267,13,7,"December 1, 2020"
